keyword,"aspect_term이 되겟다 1
안될거같다 0",1922
10년,0,340
10만,0,2262
10시,0,
10월,0,
10일,0,
120억,0,
15K,0,
17만,0,
1교시,0,
1단계,0,
1등급,0,
1시간,0,
1인실,0,
1주일,0,
1차_접종,0,
1학기,0,
2.5단계,0,
20일,0,
22일,0,
23일,0,
24일,0,
25일,0,
26일,0,
2TV,0,
2단계,0,
2등급,0,
2차_가해,0,
2차_접종,0,
2차_피해,0,
2학기,0,
2학년,0,
30세_미만,0,
31번_환자,0,
3개월,0,
3기_신도시,1,
3단계,0,
3단계_격상,0,
3차_접종,0,
3학년,0,
400명,0,
49세,0,
4단계,0,
4대강,1,
4주기,0,
4차_대유행,0,
4차_유행,0,
4차_접종,0,
500명,0,
50대,0,
50억,0,
50억_클럽,0,
52시간,0,
5주기,0,
5촌_조카,0,
60세,0,
65세,0,
6개월,0,
6월_모의평가,1,
700명,0,
8차_사건,0,
9월_모의평가,1,
ASF,1,
AZ_백신,1,
BBK,1,
BMW,1,
BMW_차량,1,
BMW코리아,1,
BNK,1,
BTJ,1,
CCTV,1,
CDC,1,
CJ대한통운,1,
CPR,1,
City,1,
DNA,1,
EBS,1,
EGR,1,
ELS,1,
EMA,1,
ESG,1,
Education,1,
English,1,
FDA,1,
GS25,1,
HDC,1,
HMM,1,
IBK,1,
ICT,1,
IEM,1,
ILO,1,
IMF,1,
IPO,1,
JMS,1,
JTBC,1,
KF80,1,
KTX,1,
LG화학,1,
LH_직원,1,
NCC,1,
OECD,1,
PCR,1,
PCR_검사,1,
RSV,1,
S&P,1,
SDI,1,
SKY,1,
SK그룹,1,
SK이노베이션,1,
SNS,1,
SPC,1,
SPL,1,
SRT,1,
TBS,1,
TV_수신료,1,
TV조선,1,
WFM,1,
education,1,
e스포츠협회,1,
n번방,1,
support,1,
tvN,1,
가동률,1,
가사도우미,1,
가산점,1,
가석방,1,
가세연,1,
가습기,1,
가습기_살균제,1,
가입자,1,
가자지구,1,
가정폭력,1,
가족부,1,
가짜뉴스,1,
가처분,1,
가해자,1,
간담회,1,
간호법,1,
간호사,1,
간호조무사,1,
감독관,1,
감사원,1,
감사원장,1,
감소세,1,
감염경로,1,
감염병,1,
감염원,1,
감염자,1,
감염증,1,
감찰_중단,1,
감찰부,1,
감찰위,1,
갑판원,1,
강기정,1,
강남구,1,
강남역,1,
강래구,1,
강릉선,1,
강북삼성병원,1,
강서구,1,
강수량,1,
강수연,1,
강아지,1,
강용석,1,
강원도,1,
강원랜드,1,
강원랜드_채용비리,1,
강윤성,0,
강제징용,1,
강제추행,1,
강지환,0,
강추위,1,
강화군,1,
개그맨,1,
개발원,1,
개인정보,1,
개정안,1,
개천절,1,
개편안,1,
개학_연기,1,
개헌안,1,
개혁안,1,
개혁위,1,
거래대금,1,
거래소,1,
거부자,1,
거짓말,1,
건강관리,1,
건강보험,1,
건물주,1,
건설_현장,1,
건설노조,1,
건설사,1,
건설현장,1,
건조기,1,
건축물,1,
검경_수사권,1,
검사들,1,
검사소,1,
검사장,1,
검사키트,1,
검수완박,1,
검수완박_법안,1,
검언유착,1,
검정고시,1,
검찰_개혁,1,
검찰_수사,1,
검찰_수사권,1,
검찰_인사,1,
검찰_조사,1,
검찰개혁,1,
검찰단,1,
검찰청,1,
검찰총장,1,
게스트하우스,1,
겨울철,1,
격리_의무,1,
격리자,1,
결정권,1,
결혼식,1,
경공모,1,
경기도,1,
경기도교육청,1,
경남도,1,
경로당,,
경북대,1,
경북대_의대,1,
경북대병원,1,
경북도,1,
경비원,1,
